episode,reward
1,8.0
2,22.0
3,17.0
4,48.0
5,11.0
6,13.0
7,22.0
8,25.0
9,37.0
10,18.0
11,11.0
12,43.0
13,23.0
14,11.0
15,17.0
16,63.0
17,19.0
18,22.0
19,75.0
20,38.0
21,74.0
22,21.0
23,17.0
24,59.0
25,114.0
26,15.0
27,44.0
28,13.0
29,65.0
30,21.0
31,45.0
32,12.0
33,57.0
34,9.0
35,18.0
36,43.0
37,17.0
38,41.0
39,16.0
40,10.0
41,12.0
42,15.0
43,52.0
44,19.0
45,15.0
46,43.0
47,70.0
48,33.0
49,17.0
50,13.0
51,18.0
52,13.0
53,72.0
54,18.0
55,22.0
56,70.0
57,16.0
58,42.0
59,70.0
60,136.0
61,94.0
62,118.0
63,37.0
64,164.0
65,61.0
66,27.0
67,202.0
68,133.0
69,138.0
70,15.0
71,143.0
72,18.0
73,112.0
74,118.0
75,54.0
76,36.0
77,135.0
78,134.0
79,10.0
80,145.0
81,229.0
82,63.0
83,41.0
84,210.0
85,291.0
86,25.0
87,95.0
88,160.0
89,83.0
90,10.0
91,168.0
92,111.0
93,16.0
94,163.0
95,11.0
96,69.0
97,12.0
98,79.0
99,166.0
100,184.0
101,134.0
102,96.0
103,100.0
104,126.0
105,110.0
106,157.0
107,172.0
108,185.0
109,78.0
110,27.0
111,156.0
112,214.0
113,11.0
114,49.0
115,197.0
116,31.0
117,35.0
118,35.0
119,181.0
120,135.0
121,147.0
122,147.0
123,166.0
124,165.0
125,144.0
126,12.0
127,209.0
128,244.0
129,58.0
130,130.0
131,120.0
132,131.0
133,132.0
134,33.0
135,118.0
136,123.0
137,230.0
138,239.0
139,172.0
140,126.0
141,123.0
142,118.0
143,123.0
144,124.0
145,113.0
146,11.0
147,10.0
148,121.0
149,127.0
150,135.0
151,14.0
152,128.0
153,144.0
154,130.0
155,135.0
156,139.0
157,171.0
158,183.0
159,175.0
160,62.0
161,97.0
162,276.0
163,172.0
164,183.0
165,194.0
166,200.0
167,424.0
168,500.0
169,500.0
170,245.0
171,254.0
172,500.0
173,500.0
174,500.0
175,13.0
176,346.0
177,336.0
178,238.0
179,500.0
180,500.0
181,490.0
182,84.0
183,226.0
184,294.0
185,314.0
186,164.0
187,172.0
188,186.0
189,186.0
190,257.0
191,407.0
192,342.0
193,348.0
194,500.0
195,333.0
196,500.0
197,500.0
198,500.0
199,337.0
200,325.0
201,40.0
202,31.0
203,40.0
204,195.0
205,500.0
206,500.0
207,500.0
208,239.0
209,373.0
210,500.0
211,500.0
212,500.0
213,82.0
214,500.0
215,53.0
216,500.0
217,500.0
218,500.0
219,500.0
220,500.0
221,500.0
222,500.0
223,500.0
224,265.0
225,500.0
226,117.0
227,84.0
228,385.0
229,500.0
230,500.0
231,500.0
232,500.0
233,148.0
234,390.0
235,153.0
236,14.0
237,20.0
238,19.0
239,40.0
240,22.0
241,10.0
242,258.0
243,24.0
244,113.0
245,23.0
246,175.0
247,41.0
248,82.0
249,277.0
250,74.0
251,70.0
252,192.0
253,86.0
254,75.0
255,79.0
256,82.0
257,67.0
258,268.0
259,264.0
260,15.0
261,141.0
262,143.0
263,148.0
264,18.0
265,21.0
266,290.0
267,172.0
268,46.0
269,192.0
270,20.0
271,69.0
272,21.0
273,18.0
274,16.0
275,29.0
276,71.0
277,73.0
278,65.0
279,61.0
280,74.0
281,16.0
282,70.0
283,60.0
284,68.0
285,71.0
286,65.0
287,81.0
288,65.0
289,86.0
290,93.0
291,80.0
292,93.0
293,315.0
294,81.0
295,500.0
296,500.0
297,207.0
298,500.0
299,20.0
300,106.0
301,500.0
302,500.0
303,206.0
304,204.0
305,500.0
306,500.0
307,500.0
308,500.0
309,500.0
310,500.0
311,14.0
312,14.0
313,213.0
314,500.0
315,317.0
316,500.0
317,500.0
318,500.0
319,500.0
320,500.0
321,261.0
322,244.0
323,252.0
324,329.0
325,271.0
326,348.0
327,50.0
328,153.0
329,34.0
330,37.0
331,364.0
332,20.0
333,31.0
334,404.0
335,92.0
336,114.0
337,137.0
338,130.0
339,346.0
340,429.0
341,195.0
342,253.0
343,500.0
344,244.0
345,35.0
346,252.0
347,500.0
348,500.0
349,66.0
350,213.0
351,11.0
352,202.0
353,358.0
354,259.0
355,29.0
356,40.0
357,18.0
358,141.0
359,18.0
360,31.0
361,130.0
362,139.0
363,34.0
364,16.0
365,34.0
366,10.0
367,19.0
368,30.0
369,17.0
370,13.0
371,39.0
372,52.0
373,31.0
374,31.0
375,113.0
376,25.0
377,48.0
378,95.0
379,19.0
380,43.0
381,24.0
382,14.0
383,392.0
384,94.0
385,16.0
386,32.0
387,404.0
388,74.0
389,189.0
390,267.0
391,500.0
392,456.0
393,402.0
394,189.0
395,31.0
396,209.0
397,500.0
398,28.0
399,500.0
400,391.0
401,500.0
402,500.0
403,135.0
404,144.0
405,150.0
406,147.0
407,155.0
408,128.0
409,132.0
410,139.0
411,109.0
412,120.0
413,26.0
414,140.0
415,500.0
416,107.0
417,421.0
418,173.0
419,500.0
420,129.0
421,415.0
422,14.0
423,100.0
424,130.0
425,240.0
426,156.0
427,37.0
428,97.0
429,117.0
430,138.0
431,121.0
432,107.0
433,91.0
434,124.0
435,124.0
436,135.0
437,272.0
438,104.0
439,94.0
440,117.0
441,99.0
442,24.0
443,178.0
444,44.0
445,126.0
446,93.0
447,23.0
448,59.0
449,99.0
450,18.0
451,26.0
452,26.0
453,18.0
454,103.0
455,51.0
456,30.0
457,14.0
458,35.0
459,29.0
460,500.0
461,370.0
462,290.0
463,330.0
464,96.0
465,106.0
466,500.0
467,146.0
468,37.0
469,93.0
470,58.0
471,46.0
472,134.0
473,14.0
474,45.0
475,115.0
476,142.0
477,269.0
478,323.0
479,107.0
480,99.0
481,243.0
482,160.0
483,80.0
484,105.0
485,25.0
486,68.0
487,45.0
488,111.0
489,67.0
490,37.0
491,43.0
492,72.0
493,94.0
494,16.0
495,98.0
496,24.0
497,118.0
498,107.0
499,142.0
500,118.0
