episode,reward
1,8.0
2,22.0
3,17.0
4,64.0
5,13.0
6,25.0
7,14.0
8,14.0
9,17.0
10,11.0
11,16.0
12,16.0
13,14.0
14,15.0
15,11.0
16,24.0
17,12.0
18,12.0
19,19.0
20,19.0
21,16.0
22,15.0
23,12.0
24,12.0
25,14.0
26,12.0
27,12.0
28,13.0
29,10.0
30,18.0
31,10.0
32,18.0
33,21.0
34,17.0
35,19.0
36,18.0
37,14.0
38,11.0
39,8.0
40,12.0
41,12.0
42,12.0
43,12.0
44,12.0
45,11.0
46,10.0
47,15.0
48,14.0
49,11.0
50,9.0
51,16.0
52,11.0
53,12.0
54,15.0
55,12.0
56,10.0
57,10.0
58,10.0
59,11.0
60,13.0
61,11.0
62,10.0
63,12.0
64,12.0
65,8.0
66,11.0
67,10.0
68,14.0
69,12.0
70,11.0
71,11.0
72,11.0
73,14.0
74,10.0
75,14.0
76,10.0
77,11.0
78,11.0
79,11.0
80,11.0
81,11.0
82,9.0
83,11.0
84,9.0
85,9.0
86,12.0
87,13.0
88,11.0
89,11.0
90,9.0
91,16.0
92,9.0
93,13.0
94,12.0
95,11.0
96,10.0
97,11.0
98,8.0
99,15.0
100,8.0
101,11.0
102,13.0
103,11.0
104,13.0
105,10.0
106,12.0
107,16.0
108,10.0
109,12.0
110,14.0
111,9.0
112,10.0
113,10.0
114,12.0
115,9.0
116,10.0
117,13.0
118,10.0
119,13.0
120,13.0
121,11.0
122,13.0
123,11.0
124,15.0
125,13.0
126,14.0
127,18.0
128,12.0
129,15.0
130,13.0
131,16.0
132,12.0
133,23.0
134,11.0
135,17.0
136,18.0
137,11.0
138,19.0
139,15.0
140,17.0
141,15.0
142,18.0
143,21.0
144,15.0
145,20.0
146,17.0
147,27.0
148,23.0
149,30.0
150,13.0
151,17.0
152,24.0
153,19.0
154,31.0
155,32.0
156,31.0
157,17.0
158,19.0
159,20.0
160,25.0
161,29.0
162,19.0
163,29.0
164,33.0
165,28.0
166,32.0
167,24.0
168,31.0
169,27.0
170,31.0
171,38.0
172,28.0
173,29.0
174,46.0
175,40.0
176,36.0
177,40.0
178,156.0
179,51.0
180,173.0
181,39.0
182,38.0
183,34.0
184,42.0
185,36.0
186,24.0
187,28.0
188,16.0
189,36.0
190,24.0
191,16.0
192,24.0
193,17.0
194,11.0
195,24.0
196,10.0
197,35.0
198,11.0
199,10.0
200,20.0
201,11.0
202,12.0
203,10.0
204,10.0
205,10.0
206,9.0
207,10.0
208,8.0
209,12.0
210,10.0
211,9.0
212,10.0
213,9.0
214,9.0
215,8.0
216,9.0
217,9.0
218,9.0
219,9.0
220,9.0
221,8.0
222,10.0
223,10.0
224,9.0
225,8.0
226,9.0
227,8.0
228,10.0
229,10.0
230,9.0
231,9.0
232,9.0
233,9.0
234,11.0
235,10.0
236,11.0
237,10.0
238,10.0
239,9.0
240,10.0
241,9.0
242,10.0
243,9.0
244,8.0
245,10.0
246,11.0
247,10.0
248,10.0
249,10.0
250,9.0
251,9.0
252,15.0
253,9.0
254,8.0
255,10.0
256,10.0
257,9.0
258,10.0
259,10.0
260,10.0
261,8.0
262,9.0
263,10.0
264,10.0
265,10.0
266,9.0
267,9.0
268,8.0
269,9.0
270,9.0
271,11.0
272,9.0
273,9.0
274,10.0
275,8.0
276,8.0
277,8.0
278,10.0
279,10.0
280,10.0
281,10.0
282,8.0
283,9.0
284,9.0
285,9.0
286,9.0
287,9.0
288,10.0
289,9.0
290,10.0
291,10.0
292,9.0
293,11.0
294,10.0
295,8.0
296,9.0
297,9.0
298,10.0
299,9.0
300,9.0
