episode,reward
1,8.0
2,22.0
3,17.0
4,49.0
5,12.0
6,13.0
7,11.0
8,19.0
9,15.0
10,25.0
11,19.0
12,14.0
13,13.0
14,50.0
15,12.0
16,21.0
17,20.0
18,21.0
19,78.0
20,20.0
21,65.0
22,21.0
23,18.0
24,12.0
25,12.0
26,33.0
27,21.0
28,23.0
29,43.0
30,16.0
31,15.0
32,32.0
33,16.0
34,46.0
35,12.0
36,23.0
37,29.0
38,16.0
39,25.0
40,19.0
41,28.0
42,15.0
43,45.0
44,22.0
45,20.0
46,24.0
47,15.0
48,41.0
49,61.0
50,70.0
51,47.0
52,16.0
53,29.0
54,25.0
55,13.0
56,16.0
57,14.0
58,23.0
59,14.0
60,12.0
61,28.0
62,25.0
63,53.0
64,26.0
65,22.0
66,14.0
67,72.0
68,15.0
69,32.0
70,16.0
71,25.0
72,87.0
73,52.0
74,23.0
75,13.0
76,55.0
77,24.0
78,23.0
79,42.0
80,20.0
81,88.0
82,52.0
83,37.0
84,72.0
85,38.0
86,37.0
87,28.0
88,20.0
89,13.0
90,10.0
91,14.0
92,20.0
93,34.0
94,29.0
95,24.0
96,12.0
97,16.0
98,140.0
99,74.0
100,90.0
101,14.0
102,31.0
103,13.0
104,12.0
105,13.0
106,17.0
107,45.0
108,18.0
109,16.0
110,10.0
111,26.0
112,138.0
113,22.0
114,16.0
115,10.0
116,12.0
117,27.0
118,13.0
119,14.0
120,25.0
121,13.0
122,69.0
123,95.0
124,15.0
125,12.0
126,12.0
127,65.0
128,11.0
129,18.0
130,15.0
131,19.0
132,13.0
133,19.0
134,16.0
135,19.0
136,17.0
137,10.0
138,63.0
139,10.0
140,11.0
141,16.0
142,15.0
143,17.0
144,23.0
145,48.0
146,45.0
147,16.0
148,11.0
149,89.0
150,12.0
151,10.0
152,51.0
153,72.0
154,157.0
155,75.0
156,21.0
157,17.0
158,56.0
159,14.0
160,14.0
161,15.0
162,17.0
163,50.0
164,15.0
165,27.0
166,18.0
167,14.0
168,14.0
169,13.0
170,47.0
171,22.0
172,11.0
173,11.0
174,17.0
175,10.0
176,76.0
177,73.0
178,21.0
179,108.0
180,20.0
181,70.0
182,15.0
183,62.0
184,42.0
185,27.0
186,39.0
187,23.0
188,23.0
189,93.0
190,23.0
191,70.0
192,13.0
193,12.0
194,19.0
195,17.0
196,12.0
197,19.0
198,12.0
199,16.0
200,18.0
201,17.0
202,23.0
203,22.0
204,14.0
205,24.0
206,12.0
207,35.0
208,53.0
209,19.0
210,14.0
211,15.0
212,12.0
213,23.0
214,29.0
215,19.0
216,89.0
217,14.0
218,61.0
219,12.0
220,74.0
221,16.0
222,26.0
223,11.0
224,52.0
225,64.0
226,26.0
227,27.0
228,13.0
229,13.0
230,55.0
231,15.0
232,77.0
233,15.0
234,32.0
235,18.0
236,19.0
237,12.0
238,16.0
239,11.0
240,11.0
241,10.0
242,82.0
243,62.0
244,18.0
245,13.0
246,15.0
247,19.0
248,16.0
249,15.0
250,74.0
251,13.0
252,18.0
253,17.0
254,60.0
255,21.0
256,15.0
257,11.0
258,12.0
259,69.0
260,79.0
261,102.0
262,61.0
263,15.0
264,13.0
265,18.0
266,18.0
267,47.0
268,38.0
269,24.0
270,12.0
271,72.0
272,12.0
273,15.0
274,15.0
275,22.0
276,16.0
277,12.0
278,71.0
279,17.0
280,22.0
281,10.0
282,18.0
283,19.0
284,54.0
285,15.0
286,95.0
287,11.0
288,91.0
289,18.0
290,15.0
291,14.0
292,20.0
293,16.0
294,10.0
295,15.0
296,96.0
297,54.0
298,103.0
299,24.0
300,76.0
