episode,reward
1,8.0
2,22.0
3,17.0
4,55.0
5,12.0
6,14.0
7,21.0
8,17.0
9,37.0
10,13.0
11,12.0
12,11.0
13,41.0
14,21.0
15,10.0
16,32.0
17,69.0
18,10.0
19,13.0
20,88.0
21,48.0
22,64.0
23,22.0
24,96.0
25,117.0
26,94.0
27,43.0
28,32.0
29,72.0
30,23.0
31,140.0
32,23.0
33,112.0
34,31.0
35,42.0
36,12.0
37,13.0
38,33.0
39,49.0
40,230.0
41,67.0
42,75.0
43,17.0
44,134.0
45,78.0
46,23.0
47,35.0
48,19.0
49,89.0
50,70.0
51,11.0
52,89.0
53,13.0
54,58.0
55,20.0
56,40.0
57,85.0
58,164.0
59,110.0
60,166.0
61,53.0
62,54.0
63,103.0
64,186.0
65,134.0
66,17.0
67,12.0
68,111.0
69,150.0
70,140.0
71,15.0
72,12.0
73,23.0
74,67.0
75,171.0
76,16.0
77,155.0
78,57.0
79,10.0
80,126.0
81,94.0
82,127.0
83,47.0
84,101.0
85,155.0
86,42.0
87,149.0
88,99.0
89,103.0
90,43.0
91,94.0
92,96.0
93,81.0
94,13.0
95,104.0
96,16.0
97,85.0
98,14.0
99,89.0
100,46.0
101,93.0
102,96.0
103,169.0
104,131.0
105,125.0
106,146.0
107,134.0
108,128.0
109,140.0
110,167.0
111,276.0
112,13.0
113,33.0
114,87.0
115,187.0
116,127.0
117,36.0
118,14.0
119,159.0
120,132.0
121,92.0
122,13.0
123,104.0
124,85.0
125,17.0
126,97.0
127,92.0
128,95.0
129,85.0
130,90.0
131,93.0
132,97.0
133,20.0
134,14.0
135,100.0
136,90.0
137,92.0
138,80.0
139,14.0
140,89.0
141,21.0
142,86.0
143,88.0
144,96.0
145,86.0
146,95.0
147,90.0
148,93.0
149,15.0
150,90.0
151,99.0
152,89.0
153,17.0
154,95.0
155,90.0
156,88.0
157,92.0
158,98.0
159,96.0
160,54.0
161,97.0
162,99.0
163,87.0
164,88.0
165,82.0
166,89.0
167,93.0
168,94.0
169,92.0
170,98.0
171,95.0
172,96.0
173,105.0
174,99.0
175,85.0
176,97.0
177,106.0
178,99.0
179,99.0
180,96.0
181,94.0
182,100.0
183,103.0
184,107.0
185,120.0
186,126.0
187,177.0
188,185.0
189,500.0
190,500.0
191,155.0
192,189.0
193,186.0
194,135.0
195,148.0
196,131.0
197,139.0
198,127.0
199,121.0
200,135.0
201,136.0
202,157.0
203,195.0
204,206.0
205,500.0
206,500.0
207,207.0
208,245.0
209,192.0
210,217.0
211,269.0
212,500.0
213,500.0
214,371.0
215,500.0
216,500.0
217,500.0
218,500.0
219,500.0
220,500.0
221,500.0
222,500.0
223,500.0
224,500.0
225,500.0
226,500.0
227,500.0
228,268.0
229,200.0
230,181.0
231,193.0
232,22.0
233,293.0
234,278.0
235,187.0
236,253.0
237,234.0
238,264.0
239,265.0
240,201.0
241,18.0
242,16.0
243,20.0
244,20.0
245,19.0
246,147.0
247,156.0
248,147.0
249,166.0
250,151.0
251,185.0
252,153.0
253,142.0
254,144.0
255,13.0
256,133.0
257,139.0
258,146.0
259,500.0
260,500.0
261,149.0
262,12.0
263,138.0
264,157.0
265,160.0
266,264.0
267,251.0
268,193.0
269,191.0
270,13.0
271,13.0
272,232.0
273,386.0
274,173.0
275,22.0
276,156.0
277,204.0
278,167.0
279,177.0
280,275.0
281,13.0
282,489.0
283,336.0
284,500.0
285,218.0
286,158.0
287,296.0
288,163.0
289,193.0
290,500.0
291,12.0
292,500.0
293,187.0
294,205.0
295,209.0
296,366.0
297,12.0
298,235.0
299,199.0
300,179.0
301,159.0
302,161.0
303,207.0
304,413.0
305,451.0
306,407.0
307,252.0
308,141.0
309,137.0
310,143.0
311,367.0
312,127.0
313,141.0
314,124.0
315,121.0
316,500.0
317,500.0
318,500.0
319,500.0
320,500.0
321,500.0
322,500.0
323,500.0
324,500.0
325,500.0
326,500.0
327,500.0
328,500.0
329,500.0
330,500.0
331,500.0
332,500.0
333,500.0
334,23.0
335,500.0
